"","species","lat","long"
"246","ivfr",-76.5470545988517,38.8734349818629
"247","spcy",-76.5470590374936,38.8736152301239
"248","c4 ivfr",-76.5470622325832,38.873796603191
"249","",-76.5470665371119,38.8739759791659
"250","phau",-76.5470701330605,38.8741561664896
"251","phau",-76.547074929478,38.8743364280097
"252","",-76.5470781873955,38.8745159079447
"253","c4",-76.5470864045778,38.8748767735761
"254","ivfr",-76.5470913423639,38.8750571683636
"255","ivfr",-76.5470934515298,38.8752362940542
"256","ivfr",-76.5470981079283,38.8754164672882
"257","c4",-76.5471015275815,38.8755975489783
"258","tyla",-76.5468172109227,38.8730776750788
"259","c4",-76.5468195517943,38.8732584918061
"260","c4 ivfr scam",-76.5468251697304,38.8734378684312
"261","c4 ivfr scam",-76.5468283017031,38.8736179537991
"262","ivfr",-76.5468328478102,38.8737989305225
"263","phau",-76.5468362415769,38.8739783275868
"264","ivfr",-76.5468403902847,38.8741579849694
"265","ivfr",-76.5468443261262,38.874340582703
"266","c4",-76.5468472897028,38.8745198052336
"267","ivfr",-76.5468509943557,38.8746997117759
"268","c4 ivfr",-76.5468564913109,38.8748793422635
"269","c4",-76.5468603087361,38.8750601934396
"270","c4",-76.5468625528758,38.8752397228383
"271","ivfr",-76.5468671215776,38.8754206631694
"272","ivfr",-76.5468710328599,38.8756010535326
"273","c4",-76.5468747494396,38.8757809688952
"274","tyla",-76.5465821767736,38.8729016979684
"275","scam tyla",-76.5465870112239,38.8730816526814
"276","scam",-76.5465889890114,38.8732611676537
"277","c4",-76.5465928897185,38.8734416483428
"278","c4 ivfr",-76.5465971193744,38.8736224130162
"279","c4",-76.5466020246796,38.8738019072154
"280","phau",-76.5466041184044,38.8739825109433
"281","ivfr phau",-76.546609364225,38.8741617573282
"282","phau",-76.5466134133572,38.8743421639371
"283","c4 ivfr",-76.5466205140313,38.8747026839842
"284","ivfr scam",-76.5466246542925,38.8748819720246
"285","tyla",-76.5463478744703,38.8727243320187
"286","phau",-76.5463517420789,38.8729038490133
"287","phau",-76.5463549079404,38.8730844926418
"288","phau",-76.5463580396572,38.8732646230988
"289","phau",-76.546363090982,38.8734450344955
"290","scam spcy",-76.5463673411602,38.8736246455209
"291","scam",-76.5463710657672,38.8738050023913
"292","ivfr",-76.546374228288,38.8739844205616
"293","ivfr",-76.546377647667,38.8741661150692
"294","phau",-76.5463827029035,38.8743451026726
"295","",-76.5463877482145,38.8745246941288
"296","ivfr",-76.5463901625756,38.87470681643
"297","phau",-76.5463945546142,38.8748860470828
"298","phau",-76.5463981503556,38.8750662974917
"299","phau",-76.5461363892317,38.8736285691338
"300","c4",-76.5461399689184,38.8738086485984
"301","c4",-76.5461446580602,38.8739877942592
"302","c4 scam",-76.5461476612216,38.874168926606
"303","ivfr",-76.5461526307246,38.8743477081093
"304","phau",-76.5461566421988,38.8745285567671
"305","phau",-76.5461582520452,38.874709220963
"306","phau",-76.5461636976486,38.8748886899804
"307","phau",-76.5461677928456,38.875067546116
"308","phau",-76.5461705858367,38.8752490776907
"309","phau",-76.5461747687932,38.8754287886838
"310","phau",-76.5458974860019,38.8732703073554
"311","phau",-76.5459015105356,38.8734517956555
"312","tyla",-76.5459067636818,38.873631465513
"313","c4",-76.5459110006368,38.8738105180603
"314","c4",-76.5459177128684,38.8739920878985
"315","c4 ivfr scam",-76.5459176583469,38.8741709809959
"316","phau",-76.5459207664345,38.8743516614156
"317","ivfr",-76.5459254283434,38.8745311678679
"318","ivfr",-76.5459304272029,38.8747118592851
"319","phau",-76.5459341645328,38.8748917834566
"320","ivfr phau",-76.5459370182509,38.8750724221685
"321","",-76.5459410722537,38.8752531260799
"322","ivfr phau",-76.5459452282734,38.8754321526175
"323","ivfr",-76.5459488815499,38.875612447325
"324","spcy",-76.5456688377571,38.8732741004143
"325","spcy",-76.5456712790843,38.8734538345481
"326","tyla",-76.5456755675392,38.8736347606882
"327","phau",-76.5456803191487,38.8738147165305
"328","ivfr",-76.5456839947791,38.8739950200131
"329","phau",-76.545686235845,38.874174017887
"330","phau",-76.5456905504267,38.8743545471821
"331","phau",-76.5456940435396,38.8745344025223
"332","phau",-76.5456984332011,38.8747146694979
"333","phau",-76.5457023635119,38.8748944829959
"334","phau",-76.545706701287,38.875075011962
"335","ivfr phau",-76.5454502318156,38.873817077478
"336","ivfr",-76.5454523769396,38.8739969957422
"337","scam",-76.5454569708048,38.874177142903
"338","phau",-76.5454613340357,38.8743572841001
"339","phau",-76.5454657578286,38.874538622933
"340","ivfr spcy",-76.5454619484288,38.8747230262988
"341","phau",-76.5454770852715,38.8750790968342
"342","phau",-76.5454798300734,38.8752579528541
"343","scam",-76.5454841370699,38.875438148828
"344","ivfr",-76.5454871594348,38.8756197044172
"345","phau",-76.5454811958429,38.8767007875098
"346","ivfr",-76.5452193692233,38.8738198356985
"347","ivfr",-76.5452229559865,38.8740003476294
"348","c4",-76.5452251390193,38.8741809772521
"349","c4",-76.5452303382137,38.8743614227781
"350","ivfr",-76.5452351003341,38.8745413784863
"351","phau",-76.5452381985464,38.874721680601
"352","phau",-76.5452411284424,38.8749011289074
"353","phau",-76.5452457174214,38.8750810688691
"354","phau",-76.5452486307475,38.8752618780221
"355","c4",-76.5452539134009,38.8754413762714
"356","ivfr",-76.5452585214188,38.8756221900168
"357","spcy",-76.545260872139,38.8758020334281
"358","spcy",-76.5452665320474,38.8759829774142
"359","phau spcy",-76.5452702903521,38.8761623426321
"360","phau",-76.5452734398475,38.8763423376506
"361","phau",-76.5452801871951,38.8767027993123
"362","",-76.545284723407,38.8768829471671
"363","ivfr",-76.5452882662126,38.8770635316743
"364","c4",-76.5449884880224,38.8738233325982
"365","c4",-76.5449920763624,38.8740034119988
"366","c4 scam",-76.5449953622039,38.8741828285939
"367","c4",-76.544999897909,38.8743630035777
"368","scam",-76.5450044301265,38.8745435480469
"369","ivfr",-76.5450083527837,38.8747241546418
"370","phau",-76.5450123971961,38.874903462058
"371","phau",-76.5450066912547,38.8751456590489
"372","scam",-76.5450198178442,38.8752652845669
"373","c4",-76.5450227544913,38.8754445345391
"374","c4",-76.5450269814619,38.8756242810494
"375","c4",-76.5450306525524,38.8758049720382
"376","ivfr",-76.5450346178421,38.8759854068248
"377","ivfr",-76.545039529515,38.8761658921581
"378","phau",-76.545042471787,38.8763453943327
"379","scam",-76.545050154959,38.8767054741872
"380","phau",-76.5450548702834,38.8768859350644
"381","c4 phau",-76.5450587703468,38.8770665418874
"382","c4",-76.5447575798678,38.8738255859006
"383","c4",-76.5447610767839,38.8740062612381
"384","c4",-76.5447660980026,38.8741870605762
"385","scam",-76.5447752751929,38.8744613105029
"386","phau",-76.5447764463178,38.8747278178942
"387","phau",-76.5447809661418,38.8749072812277
"388","phau",-76.5447853386539,38.8751353059649
"389","c4",-76.5447892440963,38.8752810678333
"390","scam",-76.5447924450418,38.8754464646454
"391","c4 scam",-76.5447971847031,38.8756275560117
"392","phau",-76.5448011970345,38.87580806228
"393","ivfr phau",-76.5448036827524,38.8759883364379
"394","phau",-76.5448090816094,38.8761673916254
"395","phau",-76.5448114993846,38.8763487840165
"396","phau",-76.5448191167482,38.8767085403747
"397","phau",-76.5448231886644,38.8768891269195
"398","phau",-76.5448280892123,38.8770691167899
"399","c4 ivfr",-76.5448326630067,38.8772494533903
"400","tyla",-76.5445236306077,38.8736490226086
"401","scam",-76.5445274443089,38.8738294504789
"402","scam",-76.5445320535967,38.8740093542008
"403","phau",-76.5445461479525,38.8747296211994
"404","c4",-76.5445509023225,38.8749103609836
